,net,gross,n_active,equity
2019-05-24,-0.03099275369571149,-0.03083650369571149,8.0,1.0219802229478778
2019-05-31,0.04614189159832575,0.04628078048721464,9.0,1.0691363236107716
2019-06-07,0.004469513183917368,0.004469513183917368,9.0,1.073914842504555
2019-06-14,0.026988667165105167,0.027345810022248025,7.0,1.1028983727525767
2019-06-21,-0.001679879290579759,-0.0014021015128019812,9.0,1.1010456366165755
2019-06-28,0.00892940128304086,0.00892940128304086,9.0,1.110877314936866
2019-07-05,0.010502250408637281,0.010502250408637281,9.0,1.1225440266716076
2019-07-12,-0.012320869303815433,-0.012164619303815433,8.0,1.108713308431208
2019-07-19,0.012524392051449604,0.012663280940338492,9.0,1.12259926857866
2019-07-26,-0.03635802634989452,-0.03620177634989452,8.0,1.0817837747913048
2019-08-02,-0.006602616947649918,-0.006463728058761029,9.0,1.074641170906175
2019-08-09,-0.014783650453429997,-0.014783650453429997,9.0,1.0587540514726332
2019-08-16,-0.013685399416316833,-0.013685399416316833,9.0,1.0442645793945866
2019-08-23,0.02882813351362053,0.02882813351362053,9.0,1.0743687781129185
2019-08-30,0.023145424858050365,0.023145424858050365,9.0,1.0992354999365663
2019-09-06,0.014987350620630982,0.014987350620630982,9.0,1.1157101277887602
2019-09-13,0.0,0.0,0.0,1.1157101277887602
2019-09-20,-0.0060458053043000535,-0.004795805304300053,3.0,1.1089647615801137
2019-09-27,-0.008705204775230901,-0.007871871441897568,9.0,1.0993109962420435
2019-10-04,0.009082326940539799,0.009082326940539799,9.0,1.1092952981192443
2019-10-11,0.000601369869042113,0.001601369869042113,5.0,1.1099623948874033
2019-10-18,0.03866157413045735,0.04366157413045735,1.0,1.1528752882993627
2019-10-25,0.0,0.0,0.0,1.1528752882993627
2019-11-01,0.0,0.0,0.0,1.1528752882993627
2019-11-08,0.007098781262293547,0.008348781262293548,1.0,1.1610592977937035
2019-11-15,-0.0053749120844985105,-0.0042811620844985104,8.0,1.154818706143173
2019-11-22,-0.004449669957941087,-0.0036996699579410876,5.0,1.1496801440395794
2019-11-29,0.0012397990151920783,0.0017397990151920783,5.0,1.1511055163499455
2019-12-06,0.009960499535903555,0.010317642393046413,7.0,1.1625711023113252
2019-12-13,0.011798791742957506,0.013465458409624173,3.0,1.1762880366338773
2019-12-20,0.0,0.0,0.0,1.1762880366338773
2019-12-27,-0.006591012561607739,-0.005341012561607739,2.0,1.1685351074083545
2020-01-03,0.0029551882522324303,0.00670518825223243,1.0,1.171988348630089
2020-01-10,0.0,0.0,0.0,1.171988348630089
2020-01-17,-0.035566269879713244,-0.03431626987971324,7.0,1.1303050947268318
2020-01-24,-0.024906040313374046,-0.02462826253559627,9.0,1.1021536704711532
2020-01-31,0.03247030704532768,0.03247030704532768,9.0,1.1379409385624863
2020-02-07,0.015586788345413542,0.015586788345413542,9.0,1.155677783121441
2020-02-14,-0.05218963660903175,-0.05118963660903175,5.0,1.0953633795832016
2020-02-21,-0.12185526319281113,-0.12129970763725557,9.0,0.9618875866723234
2020-02-28,-0.00358725839474821,-0.00358725839474821,9.0,0.9584370473522291
2020-03-06,-0.10806554911392223,-0.10806554911392223,9.0,0.8548630215389842
2020-03-13,-0.1565855430585709,-0.1565855430585709,9.0,0.7210038310706116
2020-03-20,0.1139956284672813,0.1139956284672813,9.0,0.8031951159208236
2020-03-27,-0.018706208219618475,-0.018706208219618475,9.0,0.7881703808414281
2020-04-03,0.060192098279147524,0.060504598279147524,12.0,0.8356120098657485
2020-04-17,-0.010416492679876946,-0.00999982601321028,9.0,0.8269078634817646
2020-04-24,0.0035503743359357586,0.0035503743359357586,9.0,0.8298436959384538
2020-05-01,0.03894191268942082,0.03894191268942082,9.0,0.8621593966915553
2020-05-08,-0.028669781127639824,-0.028669781127639824,9.0,0.8374414754912703
2020-05-15,0.03917471118405339,0.03917471118405339,9.0,0.8702480034271884
2020-05-22,0.03737326814552327,0.03737326814552327,9.0,0.902772015412379
2020-05-29,0.04137726647832511,0.04200226647832511,10.0,0.9401262536632716
2020-06-05,0.011698974158688107,0.013573974158688107,4.0,0.9511247664107826
2020-06-12,0.007377877365566502,0.008173331911021047,11.0,0.9581420482967146
2020-06-19,-0.020403524147932735,-0.020028524147932734,10.0,0.9385925738771428
2020-06-26,0.038970751117421494,0.03938741778408816,9.0,0.975170231474369
2020-07-10,0.02876172760061677,0.029118870457759627,7.0,1.0032178120362651
2020-07-17,-0.00046710862516745463,-0.00018933084738967685,9.0,1.0027492003433414
2020-07-24,0.0077804581031604885,0.0077804581031604885,9.0,1.0105510484845903
2020-07-31,0.028987055544437194,0.028987055544437194,9.0,1.0398439478575023
2020-08-07,0.014305399699668288,0.014305399699668288,9.0,1.054719331156885
2020-08-14,-0.0008107792122250915,-0.0008107792122250915,9.0,1.053864186648451
2020-08-21,0.02249409849518049,0.024056598495180492,4.0,1.0775699114634645
2020-08-28,0.0037294255874651284,0.005604425587465128,4.0,1.081588628263559
2020-09-04,-0.0033681467095766633,-0.0029514800429099966,6.0,1.0779456790841575
2020-09-11,0.0048004273771046985,0.0057379273771046985,8.0,1.0831202790330647
2020-09-18,-0.011375053589172561,-0.01043755358917256,8.0,1.0707997278155441
2020-09-25,0.012339727235753498,0.012756393902420164,9.0,1.084013104380907
2020-10-02,0.030312392052285256,0.030590169830063033,9.0,1.1168721345907158
2020-10-09,-0.010693584574902357,-0.007881084574902358,4.0,1.1049287679601183
2020-10-16,0.0025885365011874832,0.0032135365011874834,8.0,1.1077889164071952
2020-10-23,-0.029202412055319767,-0.028889912055319766,8.0,1.0754388079999562
2020-10-30,0.0666880845129947,0.06738252895743914,9.0,1.1471577621164115
2020-11-06,0.042454260690028806,0.042454260690028806,9.0,1.1958594968018919
2020-11-13,0.0009894431490121115,0.0011456931490121114,8.0,1.1970427317881835
2020-11-20,0.02036113044929269,0.020777797115959357,6.0,1.2214158750035005
2020-11-27,0.023036762016804088,0.02366176201680409,4.0,1.2495533418395026
2020-12-04,-0.009309593404545527,-0.008684593404545526,4.0,1.2379205082896858
2020-12-11,6.810832683637599e-05,0.0018181083268363762,5.0,1.2380048209842618
2020-12-18,-0.010272431911753921,-0.009439098578420587,3.0,1.2252875007542778
2021-01-08,-0.010841493846878,-0.008841493846878,5.0,1.2120035538541938
2021-01-15,0.04366942860281104,0.05116942860281104,1.0,1.2649310565155827
2021-01-22,0.03082829355588113,0.032494960222547796,3.0,1.303926722453796
2021-01-29,0.056303219892135596,0.0581782198921356,6.0,1.3773419954313437
2021-02-05,0.021219339810668265,0.021969339810668266,5.0,1.4065682832679054
2021-02-12,0.02430460534005598,0.02867960534005598,2.0,1.440754370276572
2021-02-19,0.02322549694477047,0.02447549694477047,1.0,1.4742166065015951
2021-02-26,-0.01056528780651412,-0.009065287806514121,5.0,1.4586410837647632
2021-03-05,0.03146512460974634,0.031822267466889195,7.0,1.504537407226317
2021-03-12,-0.008795418889353084,-0.007857918889353083,4.0,1.4913043704950601
2021-03-19,0.022723608773732674,0.028973608773732673,1.0,1.5251921875727474
2021-03-26,-0.026175051006078864,-0.026175051006078864,1.0,1.4852702042689578
2021-04-09,0.013801283091105421,0.01536378309110542,4.0,1.5057688388248576
2021-04-16,0.0,0.0,0.0,1.5057688388248576
2021-04-23,0.004418394648421906,0.005668394648421907,8.0,1.5124219198040818
2021-04-30,0.017047417784559798,0.017583132070274083,7.0,1.5382048081375082
2021-05-07,-0.01767042913730342,-0.017462095803970085,6.0,1.511024069076655
2021-05-14,-0.010476319638346247,-0.009226319638346248,6.0,1.4951940979477734
2021-05-21,0.008887451354593033,0.009423165640307318,7.0,1.5084825627589589
2021-05-28,0.0077923687742119975,0.008070146551989775,9.0,1.5202372151774453
2021-06-04,0.001335579762507397,0.001335579762507397,9.0,1.522267613236247
